node_idx,xgb_score,tgn_score,dyg_score,ensemble_score,risk_level
103,0.576176,0.89268357,0.98992,0.8366259,HIGH
104,0.33113766,0.2977194,0.78673834,0.50335246,MEDIUM
105,0.5383741,0.6304454,0.8344307,0.68441814,MEDIUM
106,0.6087803,0.5361192,0.98835236,0.7388108,MEDIUM
107,0.3720555,0.37229675,0.81913227,0.5509586,MEDIUM
108,0.0017166317,0.013533504,0.01822427,0.011864749,LOW
109,0.51746815,0.58678555,0.7959217,0.6496448,MEDIUM
110,0.33771846,0.39226297,0.745715,0.51728046,MEDIUM
111,0.4123479,0.3914175,0.99309915,0.6383693,MEDIUM
112,0.415752,0.4295299,0.7722305,0.5624768,MEDIUM
113,0.30192378,0.27871794,0.99335045,0.5715327,MEDIUM
114,0.2828476,0.26716274,0.7192229,0.4526923,LOW
115,0.62143815,0.8399048,0.9927989,0.8355225,HIGH
116,0.2572235,0.38950068,0.9932417,0.59131396,MEDIUM
117,0.26191714,0.256854,0.99044025,0.55180746,MEDIUM
118,0.55285484,0.5151592,0.8443809,0.65815663,MEDIUM
119,0.26676482,0.36251768,0.7711812,0.49725723,LOW
120,0.4241946,0.5018453,0.7899131,0.5937773,MEDIUM
121,0.37727,0.3819986,0.7533704,0.5291288,MEDIUM
122,0.4266579,0.26375392,0.8270093,0.53792727,MEDIUM
123,0.78073144,0.4747661,0.78302985,0.68986124,MEDIUM
124,0.4454102,0.7496282,0.98627466,0.75302136,MEDIUM
125,0.38401142,0.45181417,0.99020994,0.64683163,MEDIUM
126,0.03136208,0.029154355,0.021364484,0.026700724,LOW
127,0.3449235,0.39409095,0.99163145,0.61835694,MEDIUM
128,0.50405127,0.6392706,0.99489367,0.74095404,MEDIUM
129,0.41531166,0.7573049,0.9176471,0.7188438,MEDIUM
130,0.57309747,0.516303,0.92815346,0.6980815,MEDIUM
131,0.32547155,0.35838664,0.7874762,0.5201479,MEDIUM
132,0.5272821,0.9232202,0.8387203,0.7706388,MEDIUM
133,0.12529112,0.13903518,0.49301183,0.27650264,LOW
134,0.37487084,0.41054916,0.7081906,0.5189023,MEDIUM
135,0.36025164,0.36604714,0.77306664,0.5271163,MEDIUM
136,0.64620715,0.8011411,0.97938424,0.8259582,HIGH
137,0.0008644686,0.004168904,0.19197065,0.07829827,LOW
138,0.6754363,0.46712467,0.9944602,0.7405524,MEDIUM
139,0.44909558,0.3378169,0.69296426,0.5132595,MEDIUM
140,0.3787017,0.44384882,0.99308443,0.643999,MEDIUM
141,0.35599163,0.367584,0.8824644,0.57005847,MEDIUM
142,0.46622026,0.44340608,0.9064719,0.6354767,MEDIUM
143,0.3834212,0.7119915,0.681594,0.60126144,MEDIUM
144,0.4164655,0.740046,0.97368103,0.7364259,MEDIUM
145,0.34869197,0.5448354,0.9931331,0.66531146,MEDIUM
146,0.51835185,0.535754,0.72842234,0.6076007,MEDIUM
147,0.44731006,0.68249804,0.7970837,0.6577759,MEDIUM
148,0.37735492,0.40583447,0.7515984,0.5355962,MEDIUM
149,0.5744293,0.5392794,0.9521217,0.7149613,MEDIUM
150,0.4653021,0.7395246,0.99158245,0.758081,MEDIUM
151,0.51751584,0.8732511,0.98969674,0.8131088,HIGH
152,0.39366376,0.44211486,0.9933697,0.6480815,MEDIUM
153,0.48629904,0.50367486,0.99263775,0.69404733,MEDIUM
154,0.44286054,0.48524326,0.7916862,0.59510565,MEDIUM
155,0.42276585,0.49230516,0.8398755,0.6104715,MEDIUM
156,0.5487998,0.6136564,0.9934642,0.7461226,MEDIUM
157,0.60676247,0.36505255,0.8033884,0.6128999,MEDIUM
158,0.25100046,0.2392691,0.51994437,0.3550586,LOW
159,0.30534697,0.2554777,0.6798368,0.44018212,LOW
160,0.29555967,0.31038028,0.7336167,0.47522867,LOW
161,0.2328799,0.25451726,0.7879467,0.46139786,LOW
162,0.3057261,0.63301986,0.9926165,0.6786704,MEDIUM
163,0.64963377,0.32421786,0.99007165,0.68818414,MEDIUM
164,0.35332447,0.5625471,0.7593642,0.5785072,MEDIUM
165,0.34532833,0.3597329,0.7738197,0.5210463,MEDIUM
166,0.4412017,0.24840297,0.73953813,0.50269663,MEDIUM
167,0.2916171,0.3033882,0.8162677,0.5050087,MEDIUM
168,0.31820175,0.22490379,0.370177,0.31100246,LOW
169,0.52147675,0.5328457,0.93217784,0.68916786,MEDIUM
170,0.44525132,0.42742378,0.67545456,0.5319844,MEDIUM
171,0.339721,0.3089394,0.95211554,0.57544434,MEDIUM
172,0.6032827,0.7084289,0.9930441,0.79073113,MEDIUM
173,0.24188878,0.36511695,0.770154,0.49016333,LOW
174,0.273389,0.28546068,0.7261698,0.45812285,LOW
175,0.46130297,0.73114073,0.9831701,0.7510012,MEDIUM
